Date (UTC+2:00),Token,Type,Price (CZK),Amount,Total value (CZK),Fee,Fee Currency,Notes
2024-07-16 11:09:00,LTC,sell,1144868,0.04854,55445,0,CZK,Korekce trhu
2024-07-16 14:59:00,ATOM,buy,214965,0.058754,-12630,0,CZK,Stabilní růst
2024-07-16 12:46:00,DOT,sell,907457,0.077316,70081,0,CZK,Optimalizace robota
2024-07-16 17:08:00,BTC,sell,425153,0.076734,32728,0,CZK,Stabilní růst
2024-07-16 15:01:00,LINK,buy,295471,0.008112,-2397,0,CZK,Ztráta
2024-07-16 22:04:00,LINK,buy,440422,0.050209,-22113,0,CZK,Optimalizace robota
2024-07-17 09:30:00,ADA,buy,910901,0.04413,-40198,0,CZK,Korekce trhu
2024-07-17 16:02:00,XRP,sell,171043,0.023931,4278,0,CZK,Zisk
2024-07-18 12:49:00,AVAX,buy,828901,0.016973,-14069,0,CZK,Volatilita trhu
2024-07-19 12:13:00,XRP,sell,1092941,0.092692,101630,0,CZK,Automatický trade
2024-07-20 22:58:00,DOT,sell,971268,0.071571,69648,0,CZK,Volatilita trhu
2024-07-20 21:57:00,DOT,buy,968280,0.051176,-49553,0,CZK,Zisk
2024-07-20 10:39:00,SOL,sell,570453,0.023475,13256,0,CZK,Zisk
2024-07-21 16:03:00,BTC,sell,1116065,0.035412,39554,0,CZK,Zisk
2024-07-21 20:21:00,DOT,sell,209958,0.085738,18222,0,CZK,Optimalizace robota
2024-07-21 08:25:00,BNB,buy,837804,0.057835,-48454,0,CZK,Stabilní růst
2024-07-21 11:12:00,BNB,sell,425278,0.064909,27945,0,CZK,Automatický trade
2024-07-21 13:17:00,BNB,buy,908801,0.029428,-26744,0,CZK,Ztráta
2024-07-22 08:38:00,ETH,sell,258914,0.062963,16274,0,CZK,Automatický trade
2024-07-22 09:00:00,ATOM,sell,1212662,0.084948,103386,0,CZK,Ztráta
2024-07-22 12:35:00,ATOM,buy,179620,0.045482,-8169,0,CZK,Volatilita trhu
2024-07-22 22:28:00,BTC,buy,543081,0.035791,-19437,0,CZK,Stabilní růst
2024-07-23 10:08:00,BTC,sell,1003184,0.078544,78816,0,CZK,Korekce trhu
2024-07-23 13:43:00,XRP,sell,80992,0.040594,3325,0,CZK,Zisk
2024-07-24 09:29:00,SOL,buy,869944,0.036023,-31338,0,CZK,Automatický trade
2024-07-25 10:27:00,ETH,buy,707527,0.043871,-31040,0,CZK,Volatilita trhu
2024-07-25 14:42:00,DOT,sell,355175,0.005864,2148,0,CZK,Volatilita trhu
2024-07-26 22:51:00,DOT,sell,878606,0.0134,12082,0,CZK,Zisk
2024-07-26 22:10:00,XRP,sell,595848,0.083235,49718,0,CZK,Optimalizace robota
2024-07-26 17:20:00,BTC,buy,799217,0.009308,-7439,0,CZK,Korekce trhu
2024-07-26 14:30:00,TRX,sell,619092,0.027013,16961,0,CZK,Zisk
2024-07-26 14:50:00,SOL,sell,443192,0.053573,24110,0,CZK,Stabilní růst
2024-07-27 12:20:00,LTC,buy,986101,0.001019,-1005,0,CZK,Automatický trade
2024-07-27 15:27:00,ADA,sell,1182173,0.004916,6182,0,CZK,Automatický trade
2024-07-27 12:46:00,TRX,sell,333727,0.082715,27675,0,CZK,Stabilní růst
2024-07-28 18:39:00,BNB,sell,533011,0.047068,24953,0,CZK,Volatilita trhu
2024-07-28 19:46:00,ETH,buy,980340,0.017247,-16908,0,CZK,Stabilní růst
2024-07-28 21:08:00,LTC,buy,1167139,0.031038,-36226,0,CZK,Automatický trade
2024-07-28 13:40:00,ATOM,buy,735559,0.043116,-31714,0,CZK,Korekce trhu
2024-07-29 22:25:00,LTC,buy,1397689,0.038073,-53214,0,CZK,Volatilita trhu
2024-07-29 21:49:00,LINK,sell,1431137,0.06832,98018,0,CZK,Zisk
2024-07-30 10:10:00,BTC,sell,1015856,0.074993,76057,0,CZK,Optimalizace robota
2024-07-30 19:38:00,MATIC,buy,329675,0.006561,-2163,0,CZK,Automatický trade
2024-07-31 12:51:00,ADA,sell,1127915,0.004941,5623,0,CZK,Stabilní růst
2024-07-31 15:33:00,SOL,buy,1191164,0.030404,-36216,0,CZK,Zisk
2024-07-31 13:47:00,AVAX,buy,858671,0.022236,-19093,0,CZK,Korekce trhu
2024-07-31 08:11:00,AVAX,buy,626652,0.006964,-4364,0,CZK,Optimalizace robota
2024-07-31 11:02:00,DOGE,buy,674663,0.077918,-52568,0,CZK,Volatilita trhu
2024-07-31 10:32:00,MATIC,sell,593364,0.085158,50530,0,CZK,Volatilita trhu
2024-08-01 15:00:00,BTC,buy,1292714,0.093907,-121395,0,CZK,Optimalizace robota
2024-08-01 18:19:00,AVAX,sell,464630,0.024346,11336,0,CZK,Optimalizace robota
2024-08-01 21:41:00,DOGE,sell,726034,0.015899,11497,0,CZK,Optimalizace robota
2024-08-01 10:17:00,ETH,buy,519815,0.085533,-44461,0,CZK,Optimalizace robota
2024-08-01 22:07:00,ADA,buy,86884,0.088335,-7675,0,CZK,Ztráta
2024-08-01 16:50:00,TRX,buy,1232380,0.061787,-76145,0,CZK,Volatilita trhu
2024-08-02 20:30:00,ATOM,sell,565372,0.086747,49138,0,CZK,Automatický trade
2024-08-02 12:49:00,ATOM,buy,1119664,0.038343,-42931,0,CZK,Zisk
2024-08-03 10:27:00,BNB,buy,1250267,0.099723,-124680,0,CZK,Korekce trhu
2024-08-03 22:31:00,XRP,buy,812636,0.006355,-5164,0,CZK,Automatický trade
2024-08-04 09:11:00,LTC,sell,380623,0.007108,2827,0,CZK,Automatický trade
2024-08-05 08:53:00,LINK,buy,113,0.037057,-4,0,CZK,Korekce trhu
2024-08-05 18:11:00,ETH,buy,1372935,0.087766,-120497,0,CZK,Volatilita trhu
2024-08-05 10:41:00,LTC,buy,965079,0.029544,-28512,0,CZK,Ztráta
2024-08-05 09:33:00,LTC,sell,800005,0.045476,36185,0,CZK,Automatický trade
2024-08-06 09:13:00,ATOM,sell,24360,0.045603,1040,0,CZK,Stabilní růst
2024-08-07 22:58:00,LINK,sell,474681,0.045015,21507,0,CZK,Korekce trhu
2024-08-07 18:45:00,AVAX,sell,755696,0.011591,8974,0,CZK,Korekce trhu
2024-08-08 09:20:00,DOT,buy,723563,0.057779,-41807,0,CZK,Stabilní růst
2024-08-09 09:57:00,SOL,sell,814493,0.070428,57283,0,CZK,Automatický trade
2024-08-09 20:44:00,AVAX,sell,417362,0.017215,7216,0,CZK,Stabilní růst
2024-08-09 22:59:00,ADA,buy,1477926,0.011706,-17301,0,CZK,Ztráta
2024-08-09 11:39:00,SOL,buy,1365981,0.035036,-47859,0,CZK,Stabilní růst
2024-08-09 12:33:00,LINK,buy,253620,0.05243,-13297,0,CZK,Korekce trhu
2024-08-10 12:30:00,TRX,buy,1146388,0.056184,-64409,0,CZK,Volatilita trhu
2024-08-10 13:29:00,MATIC,buy,1002998,0.083509,-83759,0,CZK,Korekce trhu
2024-08-10 11:43:00,ETH,sell,862479,0.023874,20522,0,CZK,Korekce trhu
2024-08-11 11:32:00,ATOM,sell,696062,0.030744,21233,0,CZK,Volatilita trhu
2024-08-11 15:13:00,BTC,sell,291369,0.016183,4728,0,CZK,Stabilní růst
2024-08-11 22:55:00,ADA,buy,1170469,0.03882,-45438,0,CZK,Automatický trade
2024-08-12 17:15:00,TRX,sell,1190831,0.025337,30268,0,CZK,Stabilní růst
2024-08-12 18:53:00,DOT,sell,1462401,0.091694,134266,0,CZK,Ztráta
2024-08-12 17:52:00,LTC,buy,1492724,0.015348,-22910,0,CZK,Automatický trade
2024-08-13 21:05:00,SOL,sell,598135,0.08314,49884,0,CZK,Ztráta
2024-08-13 11:50:00,LTC,sell,603911,0.077878,47171,0,CZK,Korekce trhu
2024-08-13 20:14:00,AVAX,buy,1058049,0.040409,-42755,0,CZK,Ztráta
2024-08-13 22:22:00,BNB,buy,143370,0.053311,-7643,0,CZK,Optimalizace robota
2024-08-13 11:43:00,BNB,sell,508158,0.040945,20646,0,CZK,Korekce trhu
2024-08-14 09:17:00,BNB,sell,296326,0.06657,19539,0,CZK,Optimalizace robota
2024-08-14 16:54:00,MATIC,sell,979878,0.039608,39166,0,CZK,Zisk
2024-08-15 11:02:00,SOL,buy,81046,0.028993,-2350,0,CZK,Volatilita trhu
2024-08-16 14:35:00,SOL,buy,295482,0.005607,-1657,0,CZK,Stabilní růst
2024-08-16 17:16:00,TRX,buy,22035,0.063434,-1398,0,CZK,Zisk
2024-08-16 13:15:00,ADA,sell,368716,0.023252,8777,0,CZK,Automatický trade
2024-08-16 20:27:00,MATIC,sell,635134,0.027114,17488,0,CZK,Optimalizace robota
2024-08-17 10:16:00,BTC,buy,1114336,0.079555,-88651,0,CZK,Ztráta
2024-08-18 16:53:00,AVAX,sell,1005719,0.092795,93452,0,CZK,Zisk
2024-08-18 19:38:00,BTC,sell,1263317,0.008467,10638,0,CZK,Stabilní růst
2024-08-19 20:29:00,XRP,buy,821183,0.048208,-39588,0,CZK,Ztráta
2024-08-19 13:40:00,MATIC,sell,1330021,0.076792,102370,0,CZK,Zisk
2024-08-19 18:58:00,SOL,buy,1069326,0.045057,-48181,0,CZK,Korekce trhu
2024-08-19 10:17:00,LTC,sell,892663,0.099613,88937,0,CZK,Optimalizace robota
2024-08-19 10:24:00,LTC,buy,1464018,0.049769,-72863,0,CZK,Korekce trhu
2024-08-20 17:52:00,LTC,buy,213092,0.084492,-18005,0,CZK,Korekce trhu
2024-08-20 11:33:00,XRP,buy,607612,0.028124,-17088,0,CZK,Volatilita trhu
2024-08-21 21:54:00,DOT,buy,22477,0.069934,-1572,0,CZK,Korekce trhu
2024-08-21 14:29:00,AVAX,buy,185476,0.040533,-7518,0,CZK,Optimalizace robota
2024-08-22 13:33:00,DOT,sell,85396,0.016002,1349,0,CZK,Volatilita trhu
2024-08-22 19:19:00,DOT,buy,1246155,0.025849,-32212,0,CZK,Optimalizace robota
2024-08-22 18:45:00,MATIC,sell,1344343,0.068072,91801,0,CZK,Volatilita trhu
2024-08-22 16:44:00,MATIC,sell,621813,0.074249,46236,0,CZK,Zisk
2024-08-22 14:24:00,BNB,buy,840125,0.037987,-31914,0,CZK,Automatický trade
2024-08-23 11:39:00,MATIC,buy,535530,0.044909,-24050,0,CZK,Korekce trhu
2024-08-23 16:46:00,DOGE,buy,391749,0.020971,-8215,0,CZK,Volatilita trhu
2024-08-23 12:24:00,DOT,buy,1363996,0.093949,-128146,0,CZK,Ztráta
2024-08-23 17:08:00,XRP,buy,79068,0.01257,-994,0,CZK,Ztráta
2024-08-23 08:18:00,ETH,sell,1001513,0.074685,74857,0,CZK,Volatilita trhu
2024-08-23 14:19:00,XRP,buy,509096,0.045444,-23135,0,CZK,Zisk
2024-08-24 17:39:00,MATIC,buy,560656,0.089559,-50212,0,CZK,Korekce trhu
2024-08-24 14:13:00,ETH,sell,1091178,0.010109,11318,0,CZK,Korekce trhu
2024-08-24 20:03:00,TRX,buy,683158,0.034934,-23865,0,CZK,Stabilní růst
2024-08-24 12:37:00,BNB,buy,1269549,0.024923,-31641,0,CZK,Volatilita trhu
2024-08-24 12:47:00,MATIC,sell,1383879,0.028571,39346,0,CZK,Zisk
2024-08-25 20:13:00,ATOM,sell,322794,0.043392,13896,0,CZK,Stabilní růst
2024-08-25 21:23:00,AVAX,buy,1014470,0.080909,-82080,0,CZK,Ztráta
2024-08-26 21:01:00,MATIC,buy,106093,0.039466,-4187,0,CZK,Stabilní růst
2024-08-26 14:55:00,BTC,buy,373122,0.016255,-6065,0,CZK,Volatilita trhu
2024-08-26 11:46:00,DOGE,buy,332216,0.070324,-23363,0,CZK,Optimalizace robota
2024-08-27 19:00:00,MATIC,buy,273474,0.094133,-25743,0,CZK,Stabilní růst
2024-08-27 22:05:00,ATOM,buy,793011,0.058354,-46275,0,CZK,Optimalizace robota
2024-08-27 16:32:00,AVAX,sell,49171,0.0567,2907,0,CZK,Stabilní růst
2024-08-27 10:30:00,BNB,sell,479700,0.088409,42280,0,CZK,Korekce trhu
2024-08-27 21:03:00,BNB,buy,697588,0.091076,-63534,0,CZK,Optimalizace robota
2024-08-28 11:02:00,ETH,buy,923640,0.033863,-31277,0,CZK,Optimalizace robota
2024-08-28 11:51:00,DOT,sell,677497,0.081602,55256,0,CZK,Korekce trhu
2024-08-28 20:25:00,MATIC,buy,655585,0.016552,-10851,0,CZK,Optimalizace robota
2024-08-28 09:11:00,TRX,sell,589774,0.023344,14032,0,CZK,Optimalizace robota
2024-08-29 10:23:00,XRP,sell,727557,0.038079,27575,0,CZK,Automatický trade
2024-08-30 10:18:00,BNB,buy,1150841,0.045823,-52735,0,CZK,Automatický trade
2024-08-30 21:11:00,DOT,buy,195901,0.055941,-10959,0,CZK,Volatilita trhu
2024-08-31 11:44:00,MATIC,buy,612175,0.041272,-25266,0,CZK,Korekce trhu
2024-09-01 20:57:00,DOGE,sell,942278,0.020589,19432,0,CZK,Stabilní růst
2024-09-01 08:21:00,XRP,buy,339408,0.024748,-8400,0,CZK,Automatický trade
2024-09-01 15:37:00,BNB,buy,1313630,0.077714,-102087,0,CZK,Korekce trhu
2024-09-02 16:33:00,DOGE,buy,1193132,0.001363,-1626,0,CZK,Zisk
2024-09-02 17:14:00,AVAX,sell,732742,0.029079,21685,0,CZK,Zisk
2024-09-02 17:11:00,LINK,sell,1298052,0.08145,105984,0,CZK,Volatilita trhu
2024-09-02 11:15:00,ADA,sell,1450999,0.026535,38640,0,CZK,Volatilita trhu
2024-09-02 14:04:00,LINK,buy,927669,0.003927,-3643,0,CZK,Optimalizace robota
2024-09-02 22:50:00,ATOM,buy,1122329,0.006405,-7189,0,CZK,Optimalizace robota
2024-09-03 13:05:00,MATIC,buy,646401,0.080395,-51967,0,CZK,Korekce trhu
2024-09-03 17:36:00,DOGE,sell,245709,0.042026,10670,0,CZK,Zisk
2024-09-04 22:19:00,LINK,buy,559993,0.015494,-8677,0,CZK,Ztráta
2024-09-04 11:20:00,BTC,sell,142910,0.011089,1870,0,CZK,Volatilita trhu
2024-09-04 12:36:00,ETH,buy,504710,0.022553,-11383,0,CZK,Ztráta
2024-09-04 13:23:00,LTC,buy,1255532,0.033611,-42200,0,CZK,Ztráta
2024-09-05 10:57:00,MATIC,sell,1232831,0.029739,36951,0,CZK,Optimalizace robota
2024-09-05 14:16:00,XRP,buy,1304874,0.06152,-80276,0,CZK,Stabilní růst
2024-09-05 18:17:00,ADA,buy,420742,0.020282,-8533,0,CZK,Automatický trade
2024-09-06 16:45:00,DOT,buy,1181784,0.02473,-29226,0,CZK,Zisk
2024-09-06 21:59:00,MATIC,sell,1442137,0.07716,111436,0,CZK,Volatilita trhu
2024-09-07 11:22:00,DOT,buy,415338,0.00189,-785,0,CZK,Zisk
2024-09-08 22:18:00,AVAX,sell,683429,0.034613,23706,0,CZK,Optimalizace robota
2024-09-08 12:17:00,ETH,sell,231058,0.051048,12103,0,CZK,Volatilita trhu
2024-09-08 09:13:00,XRP,sell,499262,0.074734,37542,0,CZK,Optimalizace robota
2024-09-08 12:00:00,XRP,buy,534996,0.021331,-11412,0,CZK,Zisk
2024-09-09 08:09:00,SOL,buy,1363907,0.02375,-32393,0,CZK,Optimalizace robota
2024-09-09 11:33:00,LTC,sell,757700,0.010067,7685,0,CZK,Automatický trade
2024-09-09 11:34:00,AVAX,buy,183716,0.094418,-17346,0,CZK,Zisk
2024-09-09 12:46:00,LINK,buy,1075591,0.063873,-68701,0,CZK,Zisk
2024-09-09 19:32:00,ADA,buy,1042192,0.086141,-89775,0,CZK,Stabilní růst
2024-09-09 12:27:00,MATIC,buy,665291,0.085476,-56866,0,CZK,Volatilita trhu
2024-09-10 21:51:00,MATIC,sell,590241,0.028723,16850,0,CZK,Korekce trhu
2024-09-11 21:51:00,ATOM,sell,528842,0.049723,26228,0,CZK,Automatický trade
2024-09-11 17:14:00,LINK,sell,1000313,0.0368,37210,0,CZK,Ztráta
2024-09-11 17:47:00,ADA,sell,866925,0.010454,9348,0,CZK,Zisk
2024-09-12 16:11:00,SOL,sell,228116,0.035722,8009,0,CZK,Zisk
2024-09-12 22:30:00,TRX,buy,1313831,0.099121,-130228,0,CZK,Optimalizace robota
2024-09-13 08:08:00,LINK,buy,920805,0.075827,-69822,0,CZK,Zisk
2024-09-13 18:33:00,MATIC,buy,1302433,0.011086,-14439,0,CZK,Zisk
2024-09-13 14:24:00,DOT,sell,1475415,0.049516,73004,0,CZK,Zisk
2024-09-13 15:45:00,DOT,sell,380819,0.093149,35697,0,CZK,Korekce trhu
2024-09-14 21:50:00,AVAX,buy,878355,0.026854,-23587,0,CZK,Automatický trade
2024-09-14 22:44:00,MATIC,buy,1205502,0.043275,-52168,0,CZK,Volatilita trhu
2024-09-14 20:30:00,BTC,buy,277747,0.035932,-9980,0,CZK,Korekce trhu
2024-09-15 22:52:00,MATIC,sell,487159,0.010229,5076,0,CZK,Optimalizace robota
2024-09-15 09:01:00,BNB,buy,638830,0.026546,-16958,0,CZK,Ztráta
2024-09-15 09:08:00,MATIC,sell,638156,0.042382,27102,0,CZK,Korekce trhu
2024-09-15 21:16:00,SOL,buy,1374900,0.008148,-11203,0,CZK,Zisk
2024-09-15 12:16:00,TRX,buy,11249,0.015694,-177,0,CZK,Ztráta
2024-09-15 17:59:00,DOGE,sell,430506,0.012918,5834,0,CZK,Optimalizace robota
2024-09-16 15:26:00,BTC,sell,1137899,0.031847,36305,0,CZK,Zisk
2024-09-16 12:52:00,DOGE,sell,1279702,0.087567,112435,0,CZK,Automatický trade
2024-09-16 09:20:00,BNB,sell,623824,0.042474,26524,0,CZK,Ztráta
2024-09-17 08:43:00,DOT,buy,334334,0.006796,-2272,0,CZK,Optimalizace robota
2024-09-17 17:31:00,LTC,sell,349051,0.00785,3060,0,CZK,Ztráta
2024-09-18 10:53:00,DOT,buy,1182722,0.028478,-33682,0,CZK,Automatický trade
2024-09-18 13:00:00,DOGE,sell,559060,0.098914,55110,0,CZK,Ztráta
2024-09-18 20:38:00,ADA,buy,986064,0.002195,-2164,0,CZK,Volatilita trhu
2024-09-19 09:47:00,SOL,buy,435601,0.074954,-32650,0,CZK,Stabilní růst
2024-09-20 19:00:00,DOGE,sell,250831,0.068314,16960,0,CZK,Stabilní růst
2024-09-20 13:11:00,ETH,sell,946960,0.081511,77162,0,CZK,Volatilita trhu
2024-09-20 22:29:00,AVAX,sell,1354135,0.085799,116091,0,CZK,Ztráta
2024-09-21 21:35:00,LTC,buy,19002,0.009714,-185,0,CZK,Zisk
2024-09-21 15:40:00,TRX,sell,443366,0.026099,11645,0,CZK,Automatický trade
2024-09-21 21:47:00,DOGE,buy,245397,0.008908,-2186,0,CZK,Ztráta
2024-09-21 16:27:00,DOT,sell,167488,0.05556,9575,0,CZK,Automatický trade
2024-09-21 15:15:00,SOL,sell,633541,0.025518,16560,0,CZK,Volatilita trhu
2024-09-22 18:24:00,SOL,buy,159066,0.031205,-4964,0,CZK,Stabilní růst
2024-09-22 16:55:00,MATIC,buy,99272,0.087155,-8652,0,CZK,Korekce trhu
2024-09-22 11:59:00,SOL,buy,773614,0.056512,-43718,0,CZK,Ztráta
2024-09-22 18:15:00,DOT,sell,702250,0.053625,37788,0,CZK,Stabilní růst
2024-09-23 20:34:00,ETH,sell,150411,0.056641,8641,0,CZK,Zisk
2024-09-23 15:43:00,ETH,sell,293761,0.063713,19013,0,CZK,Korekce trhu
2024-09-24 21:45:00,SOL,buy,1409526,0.070963,-100024,0,CZK,Stabilní růst
2024-09-24 22:59:00,DOT,sell,163974,0.082737,13526,0,CZK,Stabilní růst
2024-09-24 14:10:00,ADA,buy,120977,0.08962,-10842,0,CZK,Volatilita trhu
2024-09-25 10:13:00,SOL,sell,1349585,0.059636,80526,0,CZK,Automatický trade
2024-09-25 15:10:00,BTC,buy,1409107,0.026441,-37258,0,CZK,Volatilita trhu
2024-09-26 18:20:00,LTC,sell,787084,0.065033,51486,0,CZK,Volatilita trhu
2024-09-27 19:09:00,LINK,buy,1441341,0.03017,-43485,0,CZK,Optimalizace robota
2024-09-27 08:25:00,LTC,buy,143393,0.043001,-6166,0,CZK,Stabilní růst
2024-09-27 13:24:00,BNB,buy,1139926,0.042849,-48845,0,CZK,Korekce trhu
2024-09-28 22:21:00,DOT,sell,104759,0.076706,7932,0,CZK,Volatilita trhu
2024-09-28 09:15:00,ETH,sell,1093459,0.091888,100422,0,CZK,Korekce trhu
2024-09-29 09:36:00,DOT,sell,1216027,0.059404,72527,0,CZK,Ztráta
2024-09-30 13:55:00,DOT,buy,235129,0.030157,-7091,0,CZK,Zisk
2024-09-30 13:38:00,LTC,buy,876763,0.074633,-65435,0,CZK,Optimalizace robota
2024-10-01 09:36:00,BNB,buy,613622,0.096887,-59452,0,CZK,Automatický trade
2024-10-01 16:06:00,LTC,buy,478765,0.068144,-32625,0,CZK,Ztráta
2024-10-01 18:19:00,XRP,sell,1476722,0.066565,98509,0,CZK,Volatilita trhu
2024-10-01 22:53:00,SOL,buy,901194,0.054746,-49337,0,CZK,Automatický trade
2024-10-01 17:12:00,AVAX,sell,42916,0.017867,617,0,CZK,Stabilní růst
2024-10-02 22:14:00,ETH,buy,246848,0.053352,-13170,0,CZK,Ztráta
2024-10-02 12:31:00,AVAX,buy,429532,0.043214,-18562,0,CZK,Stabilní růst
2024-10-02 16:09:00,LINK,sell,1195484,0.011854,14150,0,CZK,Korekce trhu
2024-10-03 11:23:00,TRX,sell,192584,0.042437,8282,0,CZK,Automatický trade
2024-10-03 08:56:00,ADA,buy,1410564,0.055195,-77856,0,CZK,Stabilní růst
2024-10-03 21:36:00,DOT,buy,540867,0.046712,-25265,0,CZK,Zisk
2024-10-03 14:41:00,ADA,sell,1030639,0.022409,23126,0,CZK,Korekce trhu
2024-10-03 11:11:00,BTC,buy,1401490,0.0062,-8689,0,CZK,Zisk
2024-10-04 08:05:00,AVAX,sell,1194651,0.077217,92275,0,CZK,Korekce trhu
2024-10-05 17:50:00,ATOM,buy,111260,0.025655,-2854,0,CZK,Zisk
2024-10-05 12:02:00,AVAX,buy,528557,0.030918,-16342,0,CZK,Automatický trade
2024-10-05 10:42:00,XRP,sell,276635,0.096481,26573,0,CZK,Zisk
2024-10-05 22:52:00,BTC,sell,703145,0.023925,16709,0,CZK,Ztráta
2024-10-05 14:18:00,TRX,buy,768386,0.030358,-23327,0,CZK,Stabilní růst
2024-10-06 19:47:00,SOL,sell,223983,0.051193,11566,0,CZK,Volatilita trhu
2024-10-06 20:40:00,DOT,sell,1157160,0.07762,89652,0,CZK,Automatický trade
2024-10-07 20:06:00,LINK,sell,146303,0.023396,3551,0,CZK,Korekce trhu
2024-10-07 08:17:00,SOL,sell,987252,0.040526,40058,0,CZK,Zisk
2024-10-07 19:53:00,ATOM,buy,885723,0.004426,-3920,0,CZK,Stabilní růst
2024-10-07 19:19:00,TRX,sell,1221237,0.034127,41589,0,CZK,Zisk
2024-10-07 11:32:00,MATIC,sell,768624,0.077147,59597,0,CZK,Zisk
2024-10-07 18:56:00,XRP,buy,298920,0.033601,-10044,0,CZK,Optimalizace robota
2024-10-08 11:01:00,SOL,sell,1408287,0.062115,87427,0,CZK,Ztráta
2024-10-08 09:40:00,TRX,sell,256369,0.099436,25531,0,CZK,Optimalizace robota
2024-10-08 11:18:00,TRX,buy,958060,0.057754,-55332,0,CZK,Zisk
2024-10-08 18:13:00,DOT,sell,870318,0.003457,3049,0,CZK,Automatický trade
2024-10-09 16:05:00,XRP,buy,706832,0.008136,-5751,0,CZK,Optimalizace robota
2024-10-09 22:08:00,BTC,buy,986584,0.02177,-21478,0,CZK,Optimalizace robota
2024-10-09 11:27:00,AVAX,buy,396575,0.014594,-5788,0,CZK,Optimalizace robota
2024-10-09 20:05:00,ADA,buy,889270,0.041368,-36787,0,CZK,Volatilita trhu
2024-10-09 15:02:00,LINK,buy,1179558,0.001799,-2122,0,CZK,Stabilní růst
2024-10-10 09:08:00,BNB,buy,1401153,0.066566,-93269,0,CZK,Zisk
2024-10-10 11:32:00,AVAX,buy,557231,0.087942,-49004,0,CZK,Ztráta
2024-10-10 21:49:00,ETH,buy,106089,0.048933,-5191,0,CZK,Korekce trhu
2024-10-10 19:13:00,LINK,buy,582430,0.09047,-52692,0,CZK,Optimalizace robota
2024-10-11 20:21:00,MATIC,buy,234002,0.088905,-20804,0,CZK,Korekce trhu
2024-10-12 17:04:00,DOT,buy,651454,0.028355,-18472,0,CZK,Korekce trhu
2024-10-12 19:27:00,DOT,sell,1268037,0.047919,60748,0,CZK,Zisk
2024-10-12 18:01:00,AVAX,sell,975741,0.09409,92202,0,CZK,Zisk
2024-10-12 10:29:00,DOGE,sell,326637,0.093166,30751,0,CZK,Automatický trade
2024-10-12 11:58:00,ETH,buy,1367509,0.096078,-131388,0,CZK,Optimalizace robota
2024-10-12 22:41:00,MATIC,sell,1004248,0.043429,43553,0,CZK,Ztráta
2024-10-13 08:17:00,BTC,sell,1074223,0.00462,5095,0,CZK,Volatilita trhu
2024-10-13 18:44:00,LINK,sell,66425,0.034057,2643,0,CZK,Korekce trhu
2024-10-13 15:33:00,DOGE,buy,745559,0.06629,-49423,0,CZK,Automatický trade
2024-10-13 11:46:00,BTC,buy,179034,0.050878,-9109,0,CZK,Optimalizace robota
2024-10-13 11:26:00,LINK,sell,618200,0.073042,45117,0,CZK,Automatický trade
2024-10-14 08:57:00,DOT,buy,193212,0.085959,-16608,0,CZK,Ztráta
2024-10-14 08:31:00,MATIC,sell,652987,0.013432,8645,0,CZK,Ztráta
2024-10-14 16:44:00,SOL,buy,518953,0.00168,-872,0,CZK,Volatilita trhu
2024-10-14 20:46:00,DOGE,buy,241428,0.016414,-3963,0,CZK,Optimalizace robota
2024-10-14 21:20:00,MATIC,buy,212057,0.08106,-17189,0,CZK,Stabilní růst
2024-10-14 13:57:00,DOT,buy,219027,0.050752,-11116,0,CZK,Optimalizace robota
2024-10-15 22:55:00,SOL,buy,547212,0.088344,-48343,0,CZK,Optimalizace robota
2024-10-15 12:28:00,XRP,buy,1127034,0.034883,-39314,0,CZK,Ztráta
2024-10-15 13:03:00,DOT,sell,1458600,0.05498,80048,0,CZK,Stabilní růst
2024-10-15 09:21:00,TRX,sell,412088,0.098446,40659,0,CZK,Ztráta
2024-10-15 11:21:00,LTC,buy,1108878,0.076092,-84377,0,CZK,Korekce trhu
2024-10-16 15:26:00,ADA,sell,99359,0.002323,135,0,CZK,Korekce trhu
2024-10-16 15:38:00,XRP,buy,346809,0.027724,-9615,0,CZK,Automatický trade
2024-10-16 08:01:00,SOL,sell,1228855,0.028549,35018,0,CZK,Optimalizace robota
2024-10-16 16:01:00,XRP,sell,1357369,0.073202,99397,0,CZK,Automatický trade
2024-10-16 16:50:00,DOGE,buy,1088730,0.077348,-84211,0,CZK,Optimalizace robota
2024-10-16 21:18:00,AVAX,buy,147501,0.040063,-5909,0,CZK,Automatický trade
2024-10-17 10:27:00,LINK,buy,1251320,0.006291,-7872,0,CZK,Korekce trhu
2024-10-17 21:40:00,TRX,sell,853266,0.063322,54413,0,CZK,Automatický trade
2024-10-17 10:10:00,BTC,buy,85438,0.063385,-5415,0,CZK,Automatický trade
2024-10-17 21:37:00,BTC,buy,44568,0.016093,-717,0,CZK,Korekce trhu
2024-10-17 09:08:00,LINK,sell,677233,0.042588,29191,0,CZK,Korekce trhu
2024-10-18 14:05:00,TRX,buy,12307,0.008953,-110,0,CZK,Zisk
2024-10-18 17:52:00,DOT,sell,1356269,0.082417,112140,0,CZK,Optimalizace robota
2024-10-18 21:52:00,LINK,buy,451462,0.090805,-40995,0,CZK,Ztráta
2024-10-19 08:14:00,LINK,buy,988653,0.066939,-66179,0,CZK,Korekce trhu
2024-10-19 09:36:00,LINK,sell,309303,0.07236,22415,0,CZK,Volatilita trhu
